WELL DEPT GR MR DR SR NPHI RHOB DT VSH RW
LL-4	62.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201454
LL-4	62.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201422
LL-4	63.0	nan	nan	nan	nan	nan	nan	nan	nan	0.20139
LL-4	63.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201359
LL-4	64.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201327
LL-4	64.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201295
LL-4	65.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201264
LL-4	65.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201232
LL-4	66.0	nan	nan	nan	nan	nan	nan	nan	nan	0.2012
LL-4	66.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201169
LL-4	67.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201137
LL-4	67.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201106
LL-4	68.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201074
LL-4	68.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201042
LL-4	69.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201011
LL-4	69.5	nan	nan	nan	nan	nan	nan	nan	nan	0.200979
LL-4	70.0	nan	nan	nan	nan	nan	nan	nan	nan	0.200948
LL-4	70.5	nan	nan	nan	nan	nan	nan	nan	nan	0.200916
LL-4	71.0	nan	nan	nan	nan	nan	nan	nan	nan	0.200885
LL-4	71.5	nan	nan	nan	nan	nan	nan	nan	nan	0.200853
LL-4	72.0	nan	nan	nan	nan	nan	nan	nan	nan	0.200822
LL-4	72.5	nan	nan	nan	nan	nan	nan	nan	nan	0.20079
LL-4	73.0	nan	nan	nan	nan	nan	nan	nan	nan	0.200759
LL-4	73.5	nan	nan	nan	nan	nan	nan	nan	nan	0.200727
LL-4	74.0	nan	nan	nan	nan	nan	nan	nan	nan	0.200696
LL-4	74.5	nan	nan	nan	nan	nan	nan	nan	nan	0.200664
LL-4	75.0	nan	nan	nan	nan	nan	nan	nan	nan	0.200633
